Location, Date, Time, Sensor Type, Reading, 
J2, 10/21/2021 12:00:00 AM, 14:37:19, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:37:41, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:38:02, Water Level, 8, 
J2, 10/21/2021 12:00:00 AM, 14:38:23, Water Level, 1, 
J2, 10/21/2021 12:00:00 AM, 14:38:44, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:39:05, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:39:27, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:39:48, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:40:09, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:40:30, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:40:51, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:41:13, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:41:34, Water Level, 2, 
J2, 10/21/2021 12:00:00 AM, 14:41:55, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:42:16, Water Level, 6, 
J2, 10/21/2021 12:00:00 AM, 14:42:38, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:42:59, Water Level, 0, 
J2, 10/21/2021 12:00:00 AM, 14:43:20, Water Level, 9, 
J2, 10/21/2021 12:00:00 AM, 14:44:05, Water Level, 1, 
J2, 10/21/2021 12:00:00 AM, 14:44:24, Water Level, 1, 
J2, 10/21/2021 12:00:00 AM, 14:44:46, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:11:20, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:11:41, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:12:01, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:12:22, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:12:43, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:13:03, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:13:24, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:13:45, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:14:05, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:14:26, Water Level, 6, 
G1, 10/21/2021 12:00:00 AM, 14:14:47, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:15:07, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:15:28, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:15:49, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:16:10, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:16:30, Water Level, 4, 
G1, 10/21/2021 12:00:00 AM, 14:16:51, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:17:12, Water Level, 8, 
G1, 10/21/2021 12:00:00 AM, 14:17:33, Water Level, 3, 
G1, 10/21/2021 12:00:00 AM, 14:17:54, Water Level, 3, 
G1, 10/21/2021 12:00:00 AM, 14:18:16, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:18:37, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:18:57, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:19:18, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:19:39, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:20:00, Water Level, 4, 
G1, 10/21/2021 12:00:00 AM, 14:20:21, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:20:41, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:21:02, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:21:23, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:21:44, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:22:05, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:22:26, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:22:47, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:23:08, Water Level, 7, 
G1, 10/21/2021 12:00:00 AM, 14:23:29, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:23:49, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:24:10, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:24:31, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:24:52, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:25:12, Water Level, 6, 
G1, 10/21/2021 12:00:00 AM, 14:25:33, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:25:54, Water Level, 7, 
G1, 10/21/2021 12:00:00 AM, 14:26:15, Water Level, 10, 
G1, 10/21/2021 12:00:00 AM, 14:26:35, Water Level, 5, 
G1, 10/21/2021 12:00:00 AM, 14:26:56, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:27:17, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:27:38, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:27:59, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:28:20, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:28:41, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:29:01, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:29:22, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:29:43, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:30:03, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:30:24, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:30:45, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:31:06, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:31:28, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:31:48, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:32:09, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:32:30, Water Level, 6, 
G1, 10/21/2021 12:00:00 AM, 14:32:50, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:33:11, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:33:32, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:33:53, Water Level, 7, 
G1, 10/21/2021 12:00:00 AM, 14:34:14, Water Level, 10, 
G1, 10/21/2021 12:00:00 AM, 14:34:35, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:34:55, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:35:16, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:35:37, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:35:58, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:36:19, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:36:40, Water Level, 7, 
G1, 10/21/2021 12:00:00 AM, 14:37:01, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:37:22, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:37:43, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:38:05, Water Level, 5, 
G1, 10/21/2021 12:00:00 AM, 14:38:26, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:38:47, Water Level, 7, 
G1, 10/21/2021 12:00:00 AM, 14:39:08, Water Level, 2, 
G1, 10/21/2021 12:00:00 AM, 14:39:29, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:39:51, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:40:12, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:40:33, Water Level, 11, 
G1, 10/21/2021 12:00:00 AM, 14:40:54, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:41:15, Water Level, 4, 
G1, 10/21/2021 12:00:00 AM, 14:41:36, Water Level, 1, 
G1, 10/21/2021 12:00:00 AM, 14:41:58, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:42:19, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:42:41, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:43:02, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:43:23, Water Level, 5, 
G1, 10/21/2021 12:00:00 AM, 14:44:06, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:44:27, Water Level, 0, 
G1, 10/21/2021 12:00:00 AM, 14:44:48, Water Level, 10, 
H1, 10/21/2021 12:00:00 AM, 14:11:23, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:11:43, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:12:04, Water Level, 7, 
H1, 10/21/2021 12:00:00 AM, 14:12:25, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:12:45, Water Level, 6, 
H1, 10/21/2021 12:00:00 AM, 14:13:06, Water Level, 2, 
H1, 10/21/2021 12:00:00 AM, 14:13:27, Water Level, 5, 
H1, 10/21/2021 12:00:00 AM, 14:13:47, Water Level, 11, 
H1, 10/21/2021 12:00:00 AM, 14:14:08, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:14:29, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:14:49, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:15:10, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:15:31, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:15:52, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:16:12, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:16:33, Water Level, 4, 
H1, 10/21/2021 12:00:00 AM, 14:16:54, Water Level, 9, 
H1, 10/21/2021 12:00:00 AM, 14:17:15, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:17:36, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:17:57, Water Level, 3, 
H1, 10/21/2021 12:00:00 AM, 14:18:18, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:18:39, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:19:00, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:19:20, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:19:41, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:20:02, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:20:23, Water Level, 10, 
H1, 10/21/2021 12:00:00 AM, 14:20:44, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:21:05, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:21:26, Water Level, 12, 
H1, 10/21/2021 12:00:00 AM, 14:21:47, Water Level, 3, 
H1, 10/21/2021 12:00:00 AM, 14:22:08, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:22:29, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:22:49, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:23:10, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:23:31, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:23:52, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:24:13, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:24:33, Water Level, 8, 
H1, 10/21/2021 12:00:00 AM, 14:24:54, Water Level, 4, 
H1, 10/21/2021 12:00:00 AM, 14:25:15, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:25:36, Water Level, 3, 
H1, 10/21/2021 12:00:00 AM, 14:25:56, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:26:17, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:26:38, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:26:59, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:27:19, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:27:40, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:28:01, Water Level, 5, 
H1, 10/21/2021 12:00:00 AM, 14:28:22, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:28:43, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:29:04, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:29:25, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:29:45, Water Level, 8, 
H1, 10/21/2021 12:00:00 AM, 14:30:06, Water Level, 3, 
H1, 10/21/2021 12:00:00 AM, 14:30:27, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:30:48, Water Level, 5, 
H1, 10/21/2021 12:00:00 AM, 14:31:09, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:31:30, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:31:51, Water Level, 4, 
H1, 10/21/2021 12:00:00 AM, 14:32:12, Water Level, 5, 
H1, 10/21/2021 12:00:00 AM, 14:32:32, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:32:53, Water Level, 6, 
H1, 10/21/2021 12:00:00 AM, 14:33:14, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:33:35, Water Level, 8, 
H1, 10/21/2021 12:00:00 AM, 14:33:56, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:34:17, Water Level, 4, 
H1, 10/21/2021 12:00:00 AM, 14:34:37, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:34:58, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:35:19, Water Level, 13, 
H1, 10/21/2021 12:00:00 AM, 14:35:40, Water Level, 8, 
H1, 10/21/2021 12:00:00 AM, 14:36:01, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:36:22, Water Level, 8, 
H1, 10/21/2021 12:00:00 AM, 14:36:42, Water Level, 5, 
H1, 10/21/2021 12:00:00 AM, 14:37:04, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:37:25, Water Level, 7, 
H1, 10/21/2021 12:00:00 AM, 14:37:46, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:38:07, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:38:28, Water Level, 1, 
H1, 10/21/2021 12:00:00 AM, 14:38:49, Water Level, 10, 
H1, 10/21/2021 12:00:00 AM, 14:39:11, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:39:32, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:39:53, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:40:14, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:40:35, Water Level, 4, 
H1, 10/21/2021 12:00:00 AM, 14:40:57, Water Level, 0, 
H1, 10/21/2021 12:00:00 AM, 14:41:18, Water Level, 0, 
